Name of Clinic,Yelp Link,Website,Address,City,State,Zip Code,Email,Phone Number,Contact Person,,,,,
South Park Animal Hospital,https://www.yelp.com/biz/south-park-animal-hospital-austin?osq=veterinarians,http://southparkaustin.com/,615 W Slaughter Ln Ste 121,Austin,TX,78748,clientcare@southparkaustin.com,(512) 386-1065,Alisha Singleton,,,,,
Emancipet Central Austin,https://www.yelp.com/biz/emancipet-central-austin-austin-3?osq=veterinarians,http://www.emancipet.org/,5129 Cameron Rd,Austin,TX,78723,nick@trademarkmedia.com,(512) 587-7729,Nick Weynand,,,,,
Emancipet,https://www.yelp.com/biz/emancipet-austin?osq=veterinarians,http://www.emancipet.org/,7201 Levander Loopn Bldg I & K,Austin,TX,78702,nick@trademarkmedia.com,(512) 587-7729,Nick Weynand,,,,,
Hometown Animal Care,https://www.yelp.com/biz/hometown-animal-care-pflugerville?osq=veterinarians,http://www.hometownanimalcare.com/,1001 FM 685,Pflugerville,TX,78660,staff@hometownanimalcare.com,(512) 251-2242,"Sutton, Denise",,,,,
Coastal Veterinary Hospital,https://www.yelp.com/biz/coastal-veterinary-hospital-jacksonville?osq=veterinarians,http://www.coastalvethospital.com/,13431 Beach Blvd,Jacksonville,FL,32246,tim@farrentech.com,(904) 223-4360,Axel Gray,,,,,
Dilworth Animal Hospital,https://www.yelp.com/biz/dilworth-animal-hospital-charlotte?osq=veterinarians,http://www.dilworthanimalhospital.com/,814 East Blvd,Charlotte,NC,28203,ContactUs@DilworthAnimalHospital.com,(704) 808-7387,Matthew Wheelock,,,,,
Elemental Veterinary Center and Pet Spa,https://www.yelp.com/biz/elemental-veterinary-center-and-pet-spa-columbus?osq=veterinarians,http://www.elementalvetcenter.com/,1250 N High St,Columbus,OH,43201,NA,(614) 824-4036,Jane E Flores,,,,,
Broad Ripple Animal Clinic,https://www.yelp.com/biz/broad-ripple-animal-clinic-indianapolis?osq=veterinarians,http://www.bracpet.com/,6225 N Broadway,Indianapolis,IN,46220,clientrequest@bracpet.com,(317) 257-5334,Brenda Tassava,,,,,
Urban Animal,https://www.yelp.com/biz/urban-animal-seattle?osq=veterinarians,http://www.urbananimalnw.com/,909 E Thomas St,Seattle,WA,98102,NA,(206) 329-5337,Cherri Trusheim,,,,,
,,,,,,,,,,,,,,
